scrap_date,update_date,price,city,location,product_type,furnish_type,number_of_rooms,floor_number,number_of_floors,size,year_of_construction
14-Nov-20,Actualizat în 09.11.2020,52,Iasi,Popas Pacurari ,Semi_detached,Unfurnished,2,1,2,50 mp,2018
14-Nov-20,Actualizat în 30.07.2020,26,Iasi,Pacurari ,Detached,Furnished,1,1,4,32 mp,Dupã 2010
14-Nov-20,Actualizat azi,63.9,Iasi,Podu Ros ,Semi_detached,Unfurnished,3,1,4,60 mp,N/A
14-Nov-20,Introdus: Azi,62.317,Iasi,Tatarasi ,Detached,Furnished,2,1,10,64.9 mp,2021 (in constructie)
14-Nov-20,Actualizat în 06.02.2020,32,Iasi,Nicolina ,Detached,Unfurnished,11,1,3,40 mp,2020 (in constructie)
14-Nov-20,Actualizat în 12.11.2020,51.39,Iasi,Tatarasi ,Detached,Furnished,2,2,8,53 mp,2021 (in constructie)
14-Nov-20,Introdus: Azi,61.35,Iasi,Tatarasi ,Detached,Furnished,2,7,10,63.25 mp,2021 (in constructie)
14-Nov-20,Actualizat în 20.10.2020,125,Iasi,Piata Unirii ,Semi_detached,Furnished,2,2,6,48 mp,1960
14-Nov-20,Actualizat în 27.07.2020,69.9,Iasi,Pacurari ,Semi_detached,Furnished,3,3,3,91 mp,2019
14-Nov-20,Actualizat în 12.11.2020,75,Iasi,Tatarasi ,Detached,Unfurnished,2,2,6,55 mp,2020 (finalizata)
14-Nov-20,Actualizat azi,55,Iasi,Galata ,Detached,Unfurnished,2,1,3,54 mp,2020 (finalizata)
14-Nov-20,Actualizat în 05.11.2020,73,Iasi,Nicolina ,Detached,Unfurnished,3,1,3,72 mp,2015
14-Nov-20,Actualizat în 12.11.2020,52.82,Iasi,Tatarasi ,Detached,Furnished,2,3,8,56 mp,2021 (in constructie)
14-Nov-20,Actualizat ieri,27,Iasi,Cug ,Detached,Unfurnished,1,1,2,34 mp,2020 (finalizata)
14-Nov-20,Actualizat în 10.09.2020,65.5,Iasi,Galata ,Detached,Unfurnished,3,3,4,71 mp,1981
14-Nov-20,Actualizat în 21.10.2020,70.3,Iasi,Copou ,Semi_detached,Furnished,2,Parter,11,63.91 mp,2020 (finalizata)
14-Nov-20,Introdus: Azi,68.1,Iasi,Tatarasi ,Detached,Furnished,2,2,10,68.4 mp,2021 (in constructie)
14-Nov-20,Actualizat în 05.11.2020,53.3,Iasi,Copou ,Semi_detached,Unfurnished,1,Mansarda,3,42.64 mp,2020 (finalizata)
14-Nov-20,Actualizat în 28.10.2020,49.6,Iasi,Copou ,Detached,Furnished,2,1,10,44 mp,2022 (in constructie)
14-Nov-20,Actualizat în 27.05.2020,53.5,Iasi,Tudor Vladimirescu ,Detached,Furnished,1,3,13,41 mp,2020 (in constructie)
14-Nov-20,Actualizat în 04.08.2020,80.48,Iasi,Podul de Piatra ,Semi_detached,Unfurnished,2,4,10,50.2 mp,2022 (proiect)
14-Nov-20,Actualizat în 06.08.2020,110,Iasi,Copou ,Detached,Furnished,2,1,2,72 mp,Dupã 2010
14-Nov-20,Actualizat în 06.11.2020,48.4,Iasi,Cug ,Detached,Unfurnished,2,4,4,55 mp,1986
14-Nov-20,Actualizat în 22.07.2020,84.63,Iasi,Copou ,Detached,Unfurnished,3,1,6,85 mp,2021 (in constructie)
14-Nov-20,Actualizat ieri,51,Iasi,Þigarete ,Detached,Unfurnished,1,6,8,42 mp,1990
14-Nov-20,Actualizat în 05.09.2020,47,Iasi,Tatarasi ,Semi_detached,Unfurnished,3,Etaj 10,N/A,50 mp,1971
14-Nov-20,Actualizat în 02.11.2020,79.9,Iasi,Central ,Detached,Unfurnished,4,1,1,142 mp,2015
14-Nov-20,Actualizat în 11.11.2020,74.5,Iasi,Nicolina ,Detached,Unfurnished,3,3,4,75 mp,1983
14-Nov-20,Introdus: Azi,93.487,Iasi,Tatarasi ,Detached,Furnished,4,7,10,94.65 mp,2021 (in constructie)
14-Nov-20,Actualizat în 02.11.2020,45.9,Iasi,Popas Pacurari ,Detached,Furnished,2,1,6,55 mp,2020 (finalizata)
14-Nov-20,Introdus: Ieri,55,Iasi,Bucium ,Detached,N/A,2,5,6,50 mp,2020 (finalizata)
14-Nov-20,Actualizat în 09.09.2020,42.5,Iasi,Podu Ros ,Detached,Furnished,1,1,3,49 mp,2020
14-Nov-20,Actualizat în 12.11.2020,51,Iasi,Tatarasi ,Detached,Furnished,2,2,8,53 mp,2021 (in constructie)
14-Nov-20,Actualizat în 20.10.2020,250,Iasi,Tatarasi ,Detached,Furnished,3,10,10,170 mp,2018
14-Nov-20,Actualizat azi,36,Iasi,Bucium ,Detached,Unfurnished,2,1,4,48 mp,2020 (finalizata)
14-Nov-20,Actualizat în 02.11.2020,33.5,Iasi,Cug ,Detached,Furnished,1,3,11,35 mp,2020 (finalizata)
14-Nov-20,Actualizat în 11.11.2020,38.93,Iasi,Tatarasi ,Detached,Unfurnished,1,3,10,42 mp,2021 (in constructie)
14-Nov-20,Actualizat în 01.10.2020,77,Iasi,Dacia ,Detached,N/A,3,1,10,72 mp,1983
14-Nov-20,Actualizat în 26.10.2020,69.9,Iasi,Cug ,Detached,Unfurnished,3,5,8,78 mp,1987
14-Nov-20,Actualizat ieri,51,Iasi,Þigarete ,Detached,Unfurnished,2,6,8,40 mp,1989
14-Nov-20,Introdus: Azi,41.91,Iasi,Tatarasi ,Semi_detached,Furnished,2,2,10,41.05 mp,2021 (in constructie)
14-Nov-20,Actualizat în 12.11.2020,38.93,Iasi,Tatarasi ,Detached,Furnished,1,1,8,42 mp,2021 (in constructie)
14-Nov-20,Actualizat în 19.10.2020,74,Iasi,Alexandru cel Bun ,Detached,Unfurnished,3,4,10,72 mp,1975
14-Nov-20,Actualizat în 10.11.2020,65.9,Iasi,Nicolina ,Detached,Unfurnished,2,4,4,50 mp,1980
14-Nov-20,Actualizat în 12.11.2020,61,Iasi,Tatarasi ,Semi_detached,Unfurnished,4,1,4,88 mp,1967
14-Nov-20,Actualizat în 11.11.2020,74,Iasi,Copou ,Semi_detached,Furnished,2,Parter,4,37 mp,2020 (finalizata)
14-Nov-20,Actualizat în 31.08.2020,55,Iasi,Popas Pacurari ,Detached,Furnished,3,1,3,86 mp,2020
14-Nov-20,Actualizat ieri,49.999,Iasi,Cug ,Detached,Unfurnished,2,2,2,55 mp,2019
14-Nov-20,Actualizat în 11.11.2020,42,Iasi,Tatarasi ,Semi_detached,Furnished,2,3,11,40 mp,2021 (in constructie)
14-Nov-20,Actualizat în 11.11.2020,52.9,Iasi,Podu Ros ,Semi_detached,Unfurnished,3,4,4,65 mp,1969
14-Nov-20,Actualizat în 12.11.2020,54.4,Iasi,Moara de Vânt ,Detached,Furnished,2,Demisol,2,50 mp,2018
14-Nov-20,Introdus: Ieri,49,Iasi,Popas Pacurari ,Detached,Unfurnished,2,1,4,60 mp,2020 (finalizata)
14-Nov-20,Actualizat în 12.11.2020,54.125,Iasi,Tatarasi ,Detached,Furnished,2,1,8,58 mp,2021 (in constructie)
14-Nov-20,Actualizat în 23.10.2020,70,Iasi,Galata ,N/A,Unfurnished,3,Etaj 1,N/A,72 mp,1978
14-Nov-20,Actualizat în 11.11.2020,45.6,Iasi,Copou ,Semi_detached,Furnished,2,7,10,42 mp,2020
14-Nov-20,Actualizat în 12.11.2020,37.5,Iasi,Popas Pacurari ,Detached,Unfurnished,2,4,4,48 mp,2020 (finalizata)
14-Nov-20,Actualizat ieri,51.5,Iasi,Tatarasi ,Semi_detached,Unfurnished,2,4,4,55 mp,1968
14-Nov-20,Actualizat în 30.10.2020,64.5,Iasi,Nicolina ,Detached,Unfurnished,3,Parter,3,66 mp,2020 (in constructie)
14-Nov-20,Actualizat în 23.09.2020,40,Iasi,Podu Ros ,Semi_detached,Unfurnished,2,1,4,54 mp,1968
14-Nov-20,Actualizat în 07.10.2020,52.99,Iasi,Galata ,Detached,Unfurnished,2,Parter,3,59 mp,2020 (in constructie)
14-Nov-20,Introdus: Azi,87,Iasi,Pacurari ,Detached,Furnished,3,2,3,57 mp,2018
14-Nov-20,Actualizat în 09.11.2020,31.9,Iasi,Centru Civic ,Semi_detached,Unfurnished,1,Parter,3,26 mp,1990
14-Nov-20,Actualizat azi,45.8,Iasi,Podu Ros ,Semi_detached,Unfurnished,2,1,4,54 mp,N/A
14-Nov-20,Actualizat în 05.11.2020,135,Iasi,Nicolina ,Detached,Unfurnished,3,4,8,100 mp,1988
14-Nov-20,Actualizat azi,33.5,Iasi,Cug ,Detached,Unfurnished,1,3,3,33 mp,2018
14-Nov-20,Actualizat azi,67.5,Iasi,Copou ,Semi_detached,Unfurnished,2,1,10,79.2 mp,2020 (finalizata)
14-Nov-20,Actualizat în 06.02.2020,43.9,Iasi,Cug ,Detached,Unfurnished,2,Etaj 1,N/A,50 mp,2020 (in constructie)
14-Nov-20,Actualizat în 25.10.2020,33,Iasi,Tatarasi ,Detached,Unfurnished,1,8,9,32 mp,N/A
14-Nov-20,Actualizat în 05.11.2020,135,Iasi,Nicolina ,Detached,Unfurnished,3,4,8,100 mp,1988
14-Nov-20,Actualizat în 11.11.2020,72.9,Iasi,Gara ,Detached,Unfurnished,3,2,8,70 mp,1984
14-Nov-20,Actualizat în 11.11.2020,60,Iasi,Tatarasi ,Semi_detached,Unfurnished,2,4,5,55 mp,2016
14-Nov-20,Actualizat în 12.11.2020,59.5,Iasi,Pacurari ,Semi_detached,Unfurnished,2,Etaj 3,N/A,44 mp,N/A
14-Nov-20,Actualizat în 26.08.2020,35,Iasi,Pacurari ,Detached,Furnished,1,1,4,38 mp,2020 (in constructie)
14-Nov-20,Introdus: Azi,42.277,Iasi,Tatarasi ,Semi_detached,Furnished,1,3,10,41.55 mp,2021 (in constructie)
14-Nov-20,Actualizat în 06.10.2020,153.54,Iasi,Tudor Vladimirescu ,Detached,Furnished,4,13,13,134 mp,2018
14-Nov-20,Actualizat în 12.11.2020,42,Iasi,Tatarasi ,Semi_detached,Unfurnished,2,2,4,48 mp,1976
