scrap_date,update_date,price,city,location,product_type,furnish_type,number_of_rooms,floor_number,number_of_floors,size,year_of_construction
"November 15, 2020",Actualizat ieri,67.000,Iasi,Dancu ,House,N/A,3,N/A,N/A,76 mp,2020
"November 15, 2020",Introdus: Azi,75.000,Iasi,Exterior Nord ,House,N/A,3,N/A,N/A,70 mp,2021 (in constructie)
"November 15, 2020",Actualizat în 05.11.2020,77.000,Iasi,Central ,House,Unfurnished,3,N/A,N/A,100 mp,2020 (finalizata)
"November 15, 2020",Introdus: Ieri,110.000,Iasi,Bucium ,House,Furnished,4,N/A,N/A,111 mp,2018
"November 15, 2020",Actualizat în 11.11.2020,92.000,Iasi,Central ,House,N/A,4,N/A,N/A,150 mp,2020
"November 15, 2020",Actualizat în 07.11.2020,84.700,Iasi,Miroslava ,House,N/A,4,N/A,N/A,103 mp,2020 (finalizata)
"November 15, 2020",Actualizat ieri,800.000,Iasi,Tatarasi ,House,Unfurnished,14,N/A,N/A,700 mp,1930
"November 15, 2020",Actualizat în 11.11.2020,89.900,Iasi,Miroslava ,House,N/A,4,N/A,N/A,125 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 02.10.2020,130.000,Iasi,Bucium ,House,N/A,5,N/A,N/A,120 mp,2020 (in constructie)
"November 15, 2020",Actualizat în 05.11.2020,124.800,Iasi,Bucium ,House,N/A,5,N/A,N/A,120 mp,2020 (finalizata)
"November 15, 2020",Actualizat ieri,82.000,Iasi,Miroslava ,House,Furnished,3,N/A,N/A,90 mp,2018
"November 15, 2020",Actualizat în 02.11.2020,94.900,Iasi,Pacurari ,House,N/A,4,N/A,N/A,116 mp,2019
"November 15, 2020",Actualizat în 14.10.2020,130.000,Iasi,Bucium ,House,N/A,4,N/A,N/A,118 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 20.10.2020,195.000,Iasi,Tatarasi ,House,N/A,4,N/A,N/A,130 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 02.11.2020,79.900,Iasi,Pacurari ,House,N/A,4,N/A,N/A,142 mp,2015
"November 15, 2020",Actualizat în 11.11.2020,115.000,Iasi,Pacurari ,House,N/A,4,N/A,N/A,115 mp,2020
"November 15, 2020",Actualizat ieri,170.000,Iasi,Copou ,House,N/A,5,N/A,N/A,180 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 05.10.2020,63.000,Iasi,Miroslava ,House,Furnished,3,N/A,N/A,120 mp,2020 (in constructie)
"November 15, 2020",Actualizat în 09.11.2020,75.000,Iasi,Popas Pacurari ,House,Unfurnished,3,N/A,N/A,115 mp,2020 (in constructie)
"November 15, 2020",Actualizat în 05.11.2020,95.000,Iasi,Central ,House,N/A,4,N/A,N/A,120 mp,2020 (finalizata)
